"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000089159",2841.04018824034,-1.52004182692363,0.0514982876038582,-29.5163567110482,1.77573698786701e-191,2.71095846814364e-189,"5829","5829","5829"
"ENSG00000171246",11339.2021259297,1.74022776481271,0.0589999204071372,29.4954256345437,3.29535325845825e-191,4.97373658850482e-189,"4884","4884","4884"
"ENSG00000176014",5059.66070673934,-1.58283390188999,0.0538875297878412,-29.3729162966222,1.21830016927777e-189,1.81814189307274e-187,"84617","84617","84617"
"ENSG00000173546",2782.7113944163,-1.70829393534296,0.0583274006501947,-29.2880175749313,1.4738507132743e-188,2.17507613041214e-186,"1464","1464","1464"
"ENSG00000171617",3172.76514957676,1.72300162214882,0.058843826921292,29.2809239693649,1.81457750830261e-188,2.64848554563465e-186,"8507","8507","8507"
"ENSG00000003436",3855.53263789867,1.53736821954869,0.0525943193861578,29.2306895020549,7.9027880747113e-188,1.14092207835125e-185,"7035","7035","7035"
"ENSG00000156011",1865.6956706154,1.74118495613285,0.0596403743248976,29.1947355435355,2.26182288838392e-187,3.23027221543174e-185,"23362","23362","23362"
"ENSG00000145147",601.510428483162,-2.68638160740266,0.0920907444691009,-29.1710271525062,4.52157664852711e-187,6.38889160061033e-185,"9353","9353","9353"
"ENSG00000159399",1648.34458773227,1.92240799532601,0.0660867997233739,29.0891373674142,4.92604494029389e-186,6.8871293575772e-184,"3099","3099","3099"
"ENSG00000088448",1041.5088322989,2.36784169922692,0.0819022912879202,28.9105672380151,8.7935341768986e-184,1.21662209309966e-181,"55608","55608","55608"
"ENSG00000065911",1563.07540926849,-1.94825290856337,0.0674114947276446,-28.9009006021108,1.16321350127608e-183,1.59276306432462e-181,"10797","10797","10797"
"ENSG00000116729",14027.992136521,1.67569503652776,0.0579922781678939,28.8951406888421,1.37415001818637e-183,1.86239393281137e-181,"79971","79971","79971"
"ENSG00000108932",593.620514665934,3.86327148952293,0.133749190842177,28.8844475633618,1.87222360575853e-183,2.51180544764493e-181,"9120","9120","9120"
"ENSG00000171444",1285.81453923875,1.85634885108246,0.0642892059539799,28.874969344174,2.46251316296913e-183,3.2707099830556e-181,"4163","4163","4163"
"ENSG00000157557",2128.88768598769,1.84664671579972,0.0640079775929053,28.8502587528153,5.02913903193681e-183,6.61356679427571e-181,"2114","2114","2114"
"ENSG00000134250",3989.90689953644,-1.35594541552251,0.0471003526622458,-28.788434457082,2.99378843019573e-182,3.89838214998625e-180,"4853","4853","4853"
"ENSG00000064666",5624.42477846777,-1.64271019035188,0.057098558196587,-28.7697315350088,5.13171999483257e-182,6.61742766712294e-180,"1265","1265","1265"
"ENSG00000171848",822.67379311788,-2.53282653468188,0.0880754063715253,-28.7574777003895,7.30332945383963e-182,9.32719440441326e-180,"6241","6241","6241"
"ENSG00000122641",8425.96553258608,1.39133600248176,0.0484317051525565,28.7277930458808,1.71599095589549e-181,2.17064684535276e-179,"3624","3624","3624"
"ENSG00000117399",548.054729960495,-3.23355885061981,0.113110283402872,-28.5876646520516,9.5643730070867e-180,1.19843398377477e-177,"991","991","991"
"ENSG00000155903",1023.35613415789,2.05090227248738,0.0719362764038114,28.5099865466308,8.80916708301122e-179,1.09348931959397e-176,"5922","5922","5922"
"ENSG00000182481",2566.38058699848,-1.613730299975,0.0568297696758961,-28.3958620486799,2.2745894136053e-177,2.79732375847274e-175,"3838","3838","3838"
"ENSG00000103257",3712.52147667185,-1.50761872801704,0.0530980397652466,-28.3931145986258,2.45937811323797e-177,2.99683120183732e-175,"8140","8140","8140"
"ENSG00000135926",1251.33626199858,-1.85342679344782,0.0656670852146695,-28.2245936055919,2.91920912800056e-175,3.52481233073668e-173,"64114","64114","64114"
"ENSG00000185112",747.773002441521,2.65520171354219,0.0941512675775214,28.2014441425972,5.61390999037323e-175,6.71747319748984e-173,"131583","131583","131583"
"ENSG00000108829",3850.57518186778,-1.47512164415816,0.0523891937160723,-28.1569831395517,1.96818598894541e-174,2.33405770581901e-172,"55379","55379","55379"
"ENSG00000136153",4620.22110366109,-1.40309906314314,0.0498340066755388,-28.1554536097908,2.05491043179166e-174,2.41533808451831e-172,"4008","4008","4008"
"ENSG00000057657",689.791384929011,2.8341097529194,0.100739173334613,28.1331448244636,3.85313868646874e-174,4.48924456435771e-172,"639","639","639"
"ENSG00000103449",1051.52143130918,2.35382514753033,0.0839519926109554,28.0377519856886,5.63412347480783e-173,6.50716765151284e-171,"6299","6299","6299"
"ENSG00000172795",852.701537725169,2.13212813378026,0.0762845468446774,27.9496729281419,6.65291239574884e-172,7.61758469313242e-170,"167227","167227","167227"
"ENSG00000166510",570.336073336896,2.83105251837382,0.101488521517776,27.8952976753923,3.04257506294748e-171,3.45397281932209e-169,"80323","80323","80323"
"ENSG00000141429",3588.58297366052,1.50609077002626,0.0540315757491951,27.8742707230539,5.47278913748731e-171,6.16013434950054e-169,"2589","2589","2589"
"ENSG00000109685",1268.17937848349,-1.89113797117563,0.0679960837618532,-27.8124542848537,3.06667909467267e-170,3.42282619625566e-168,"7468","7468","7468"
"ENSG00000184838",1048.67798618006,2.27795151429138,0.0819088598455341,27.8108072629408,3.21060913807042e-170,3.55360921432094e-168,"51334","51334","51334"
"ENSG00000161800",563.923688119321,-2.79241120436378,0.100506194362154,-27.7834736663282,6.87050286943183e-170,7.54165447204905e-168,"29127","29127","29127"
"ENSG00000163661",1909.80217231797,-1.6496707740454,0.0593796262028313,-27.7817642100067,7.20511972541051e-170,7.84413116335266e-168,"5806","5806","5806"
"ENSG00000166851",502.683929770066,-3.32936342943806,0.120026058353047,-27.7386717111463,2.38694002870419e-169,2.57750711067065e-167,"5347","5347","5347"
"ENSG00000091039",4444.70184434491,1.57255887736162,0.0566977951733542,27.7358029982208,2.58489671515513e-169,2.76875791699117e-167,"114882","114882","114882"
"ENSG00000135318",10396.875971113,-1.18101593660235,0.0425881990829045,-27.7310607641174,2.94872988393794e-169,3.1332024254771e-167,"4907","4907","4907"
"ENSG00000197565",563.648360733133,3.41278749579932,0.123105020477042,27.7225695798147,3.7326314985021e-169,3.9346675843734e-167,"1288","1288","1288"
"ENSG00000173801",2853.13714423843,1.54853893151996,0.0559804078279775,27.6621588088188,1.99296066210719e-168,2.08429161528407e-166,"3728","3728","3728"
"ENSG00000076641",954.690284174,2.03269233068431,0.0738622106956292,27.5200581128097,1.01035690191129e-166,1.04840315399889e-164,"55824","55824","55824"
"ENSG00000113387",1168.42585268541,-2.03754837288225,0.0740755747195416,-27.506345790723,1.47413386319514e-166,1.51778650937658e-164,"10923","10923","10923"
"ENSG00000102225",1340.69055489962,-1.74230511101477,0.0633543751731891,-27.5009437983077,1.7105945166689e-166,1.74770125926126e-164,"5127","5127","5127"
"ENSG00000089685",509.548185635596,-3.09774618642293,0.11286359515565,-27.4468147337575,7.58324630507749e-166,7.68860133007933e-164,"332","332","332"
"ENSG00000100345",41759.3349472728,-1.22519143560892,0.0446400221395362,-27.4460310924401,7.74833520311285e-166,7.79646880058674e-164,"4627","4627","4627"
"ENSG00000111206",489.63700653501,-3.02343258570637,0.110169643450484,-27.4434271639016,8.32311638264661e-166,8.31185201460994e-164,"2305","2305","2305"
"ENSG00000038427",13753.9971136825,1.28373391052712,0.0467931515804456,27.4342263166471,1.07170040205518e-165,1.06226304030574e-163,"1462","1462","1462"
"ENSG00000076706",1719.55770882045,-1.57936847968689,0.0576957360358956,-27.3740936194016,5.58073835325018e-165,5.49061976354585e-163,"4162","4162","4162"
"ENSG00000072041",2369.28278181903,5.09735332203113,0.186814833117042,27.2855920323927,6.28835886268817e-164,6.14132223634002e-162,"55117","55117","55117"
"ENSG00000170759",4331.58598921615,-1.28568752009733,0.0472709487089226,-27.1982592948182,6.81021859177159e-163,6.60243236028542e-161,"3799","3799","3799"
"ENSG00000136378",1190.06353560081,2.13134698670016,0.0785061054114555,27.1488055041023,2.61558645659119e-162,2.51740719684378e-160,"11173","11173","11173"
"ENSG00000125384",562.779146692896,-2.72079025369011,0.100441939235555,-27.0881892006222,1.35656465142719e-161,1.29625120145726e-159,"5732","5732","5732"
"ENSG00000152223",2690.47150334747,-1.50603676138941,0.055817742279539,-26.9813270813978,2.4480798844953e-160,2.32252835899047e-158,"57724","57724","57724"
"ENSG00000075426",1241.54577193998,-2.02421556466036,0.075104036190242,-26.9521542029104,5.38210897051096e-160,5.06987030825011e-158,"2355","2355","2355"
"ENSG00000147883",1092.60954361111,2.17986457157371,0.0809497910110646,26.9286003626094,1.01604379429161e-159,9.50358709562053e-158,"1030","1030","1030"
"ENSG00000147065",17820.4971549208,-1.03010306303718,0.0382930903648344,-26.9004944031143,2.16715887288093e-159,2.01288140906325e-157,"4478","4478","4478"
"ENSG00000174574",1409.88985133804,-1.74444661387231,0.06487183710982,-26.8906615195617,2.82424963002212e-159,2.60497802680235e-157,"79647","79647","79647"
"ENSG00000119326",1060.1999959954,-2.06906853303899,0.0770052241586778,-26.8691969362422,5.03294617170055e-159,4.61017869327771e-157,"8727","8727","8727"
"ENSG00000113319",1375.65463563177,1.72034768851306,0.0640489394008025,26.8598934597113,6.46423422523138e-159,5.88068212188515e-157,"5924","5924","5924"
"ENSG00000167900",535.537322697115,-2.99327009151637,0.111675893969642,-26.8031889883957,2.96618122901115e-158,2.68005571998137e-156,"7083","7083","7083"
"ENSG00000091844",494.500786591075,2.80824049491141,0.104829497202503,26.7886479459748,4.38178900179654e-158,3.93235956228795e-156,"26575","26575","26575"
"ENSG00000100106",1548.43376339178,-1.54579253721088,0.0581049727744147,-26.6034465451387,6.19257103018555e-156,5.52011600153856e-154,"11078","11078","11078"
"ENSG00000125845",1172.2386809597,5.52533661138904,0.207771211150542,26.5933696049239,8.09914671382401e-156,7.17152444353404e-154,"650","650","650"
"ENSG00000042062",529.580434708431,3.50764107964276,0.132543074817966,26.4641595531124,2.50735497247488e-154,2.20547607578883e-152,"140876","140876","140876"
"ENSG00000167553",3002.80270522025,-1.4364998739797,0.0543871414983244,-26.4124907911175,9.84745153067612e-154,8.60485863358159e-152,"84790","84790","84790"
"ENSG00000100647",1393.45153066727,1.71994684445187,0.0651478763855853,26.4006586227334,1.34651724412085e-153,1.16891778015772e-151,"9766","9766","9766"
"ENSG00000145386",450.26224000273,-3.10925685899178,0.118122043639322,-26.3224099685042,1.06252774902844e-152,9.16395685882837e-151,"890","890","890"
"ENSG00000139318",1424.14713666972,1.67884806482457,0.0638366573495161,26.2991223934644,1.96255508290688e-152,1.68171978136575e-150,"1848","1848","1848"
"ENSG00000151617",710.546799779895,2.15467096635046,0.0821809924029617,26.2186048543362,1.63071520722457e-151,1.38840765271518e-149,"1909","1909","1909"
"ENSG00000113810",918.429735878976,-1.9856334095346,0.0758284820635688,-26.1858520109897,3.85149955180924e-151,3.25831955714206e-149,"10051","10051","10051"
"ENSG00000169439",2385.18491369971,1.32445697240933,0.050789313251285,26.0774735396885,6.56742934903886e-150,5.52079725404646e-148,"6383","6383","6383"
"ENSG00000091409",2615.20252718009,-1.34483375877823,0.051618447327648,-26.0533555037389,1.23257636100656e-149,1.02962762433265e-147,"3655","3655","3655"
"ENSG00000205542",10772.7240037773,-1.36858709827393,0.0526119133288101,-26.0128744932851,3.54133511792639e-149,2.93975081476864e-147,"7114","7114","7114"
